property_type,state,region,lat,lon,area_m2,price_usd
apartment,Pernambuco,Northeast,-8.1421911,-34.9075669,108,117774.75400000002
apartment,Pernambuco,Northeast,-8.129817,-34.914825,106,156805.856
apartment,Pernambuco,Northeast,-8.029863,-34.909756,157,161696.68200000003
apartment,Pernambuco,Northeast,-8.056418,-34.909309,113,153711.65800000002
apartment,Pernambuco,Northeast,-8.049665,-34.931366,58,59887.65600000001
apartment,Pernambuco,Northeast,-8.0369,-34.884521,65,78852.084
apartment,Pernambuco,Northeast,-8.056418,-34.909309,91,99812.766
apartment,Pernambuco,Northeast,-8.056418,-34.909309,113,183655.492
apartment,Pernambuco,Northeast,-8.067211,-34.90517,167,239550.644
apartment,Pernambuco,Northeast,-8.044486,-34.905376,90,109794.042
apartment,Pernambuco,Northeast,-8.043853,-34.907928,87,110792.172
apartment,Pernambuco,Northeast,-8.033291,-34.898014,114,149719.146
apartment,Pernambuco,Northeast,-8.0347457,-34.8972145,102,133549.48200000002
apartment,Pernambuco,Northeast,-8.049178,-34.924473,141,179662.98200000002
apartment,Pernambuco,Northeast,-8.0508763,-34.9113739,157,195633.022
apartment,Pernambuco,Northeast,-8.02765,-34.920338,158,179662.98200000002
apartment,Pernambuco,Northeast,-8.037733,-34.901905,58,76855.826
apartment,Pernambuco,Northeast,-8.0343998,-34.9212091,200,219588.086
apartment,Pernambuco,Northeast,-8.0436724,-34.9090946,90,84840.848
apartment,Pernambuco,Northeast,-8.0369,-34.884521,69,65876.426
apartment,Pernambuco,Northeast,-8.033406,-34.893208,59,72863.31999999999
apartment,Pernambuco,Northeast,-8.0331805,-34.8968813,136,189644.25800000003
apartment,Pernambuco,Northeast,-8.14068,-34.905975,150,139737.87
apartment,Pernambuco,Northeast,-8.03368,-34.906895,198,255520.684
apartment,Pernambuco,Northeast,-8.034929,-34.892761,102,147722.894
apartment,Pernambuco,Northeast,-8.040233,-34.898281,180,125764.08200000001
apartment,Pernambuco,Northeast,-8.048381,-34.908379,111,143730.382
apartment,Pernambuco,Northeast,-8.040233,-34.898281,170,129756.594
apartment,Pernambuco,Northeast,-8.029489,-34.9040282,75,57891.402
apartment,Pernambuco,Northeast,-8.117513,-34.899639,106,137741.618
apartment,Pernambuco,Northeast,-8.021971,-34.931366,204,279475.748
apartment,Pernambuco,Northeast,-8.050071,-34.89138,208,239550.644
apartment,Piauí,Northeast,-5.144143,-42.770873,108,121591.91200000001
apartment,Piauí,Northeast,-5.086528,-42.797088,103,124486.478
apartment,Piauí,Northeast,-5.092011,-42.80376,100,97235.80200000001
apartment,Piauí,Northeast,-5.064457,-42.79275,60,63880.168000000005
apartment,Piauí,Northeast,-5.078955,-42.807716,76,49906.380000000005
apartment,Piauí,Northeast,-5.078955,-42.807716,100,59566.119999999995
apartment,Piauí,Northeast,-5.078955,-42.807716,72,65876.426
house,Piauí,Northeast,-5.051253,-42.749144,236,149719.146
apartment,Piauí,Northeast,-5.06999,-42.749367,70,48554.914000000004
apartment,Piauí,Northeast,-5.078903,-42.787226,162,197629.28000000003
house,Piauí,Northeast,-5.074453,-42.736429,115,106997.288
apartment,Piauí,Northeast,-5.070009,-42.74717,79,67870.682
apartment,Piauí,Northeast,-5.076423,-42.76101,74,61684.29000000001
apartment,Piauí,Northeast,-5.095419,-42.791474,78,63678.546
house,Piauí,Northeast,-5.085659,-42.729751,115,79650.584
apartment,Piauí,Northeast,-5.061773,-42.759066,76,55325.81800000001
apartment,Piauí,Northeast,-5.068983,-42.786101,130,123372.54800000001
apartment,Piauí,Northeast,-5.075868,-42.753926,75,58253.65
apartment,Piauí,Northeast,-5.06923,-42.785126,108,125189.818
apartment,Piauí,Northeast,-5.089212,-42.801628,205,151439.296
apartment,Piauí,Northeast,-5.063854,-42.762544,180,89831.49
apartment,Piauí,Northeast,-5.073011,-42.793678,60,83842.72
apartment,Piauí,Northeast,-5.069056,-42.783318,141,219588.086
apartment,Piauí,Northeast,-5.044685,-42.766233,77,95820.25400000002
apartment,Rio Grande do Norte,Northeast,-5.852388,-35.208324,92,74859.572
apartment,Rio Grande do Norte,Northeast,-5.864574,-35.212097,64,51902.638000000006
apartment,Rio Grande do Norte,Northeast,-5.864574,-35.212097,87,74859.572
apartment,Rio Grande do Norte,Northeast,-5.780723,-35.198303,214,199625.534
apartment,Rio Grande do Norte,Northeast,-5.780723,-35.198303,150,169681.706
apartment,Rio Grande do Norte,Northeast,-5.886141,-35.180965,56,72863.31999999999
